"GA0518_YAP_KO_D_1" "GA0518_YAP_KO_D_2" "GA0518_untreated_1" "GA0518_untreated_2" "GA0518_VT_200_1" "GA0518_VT_200_2"
"ENSG00000006788.14" 0 0 3 5 0 0
"ENSG00000006831.10" 3696.506 4021.286 2308.46 2790.926 3212.041 3300.686
"ENSG00000006837.12" 13.429 23 4.751 11.673 6 3
"ENSG00000007001.13" 0 0 0 0 0 0
"ENSG00000007038.11" 0 0 0 0 0 0
"ENSG00000007047.15" 277.651 248.005 689.518 719.998 623.831 618.978
"ENSG00000007062.12" 9 6 0 0 0 3
"ENSG00000007080.11" 1638.9 1591.574 854.698 908.882 1925.797 2112.478
"ENSG00000007129.18" 0 0 0 0 0 0
"ENSG00000007168.14" 3814.98 3857.685 2991.88 3331.151 5083.116 4709.641
"ENSG00000007171.18" 2 0 12 16.002 0 0
"ENSG00000007174.18" 4 0 0 0 0 0
"ENSG00000007202.15" 4070.351 4080.809 5345.606 5964.928 7319.645 7145.963
"ENSG00000007216.15" 0 0 1 0 0 0
"ENSG00000007237.19" 2 0 5 10 3 0
"ENSG00000007255.10" 7 25 49.99 103.952 43 28
"ENSG00000007264.15" 2 5 0 1 0 0
"ENSG00000007306.15" 0 0 1 0 0 0
"ENSG00000007312.13" 0 4 0 0 0 0
"ENSG00000007314.12" 9 5 2 1 1 0
"ENSG00000007341.19" 284.732 386.621 191.136 256.089 264.297 184.693
"ENSG00000007350.17" 0 0 1 0 0 0
"ENSG00000007372.24" 287.328 263.763 0 0 54.466 22.629
"ENSG00000007376.8" 1390.825 1218.867 1118.381 1258.056 861.671 819.886
"ENSG00000007384.15" 353.014 396.835 956.53 1128.271 551.143 600.679
"ENSG00000007392.17" 855.972 924.948 695.138 710.012 773.595 796.925
"ENSG00000007402.12" 17 12 1 2 7 0
"ENSG00000007516.14" 170.734 155.041 19.039 12.179 103.43 90.267
"ENSG00000007520.4" 1025.423 1090.637 769.016 796.737 949.963 980.332
"ENSG00000007541.17" 454.41 530.721 712.539 708.978 533.33 603.456
"ENSG00000007545.16" 302.001 400.627 845.021 877.743 867.982 1002.197
